provincia,anio,denuncias,victimas,ordenes_proteccion,quebrantamientos,poblacion_total,poblacion_mujeres,renta_media_hogar,renta_media_persona,tasa_actividad_total,tasa_actividad_hombres,tasa_actividad_mujeres,tasa_empleo_total,tasa_empleo_hombres,tasa_empleo_mujeres,tasa_paro_total,tasa_paro_hombres,tasa_paro_mujeres
GRANADA,2023,5672.0,4674.0,1078.0,1414.0,934072.0,473535.0,,,,,,,,,,,
GUADALAJARA,2023,905.0,905.0,251.0,189.0,275082.0,135666.0,,,,,,,,,,,
HUELVA,2023,2521.0,2521.0,644.0,180.0,534084.0,269067.0,,,,,,,,,,,
HUESCA,2023,558.0,558.0,191.0,66.0,226878.0,111940.0,,,,,,,,,,,
ILLES BALEARS,2023,3316.0,2940.0,661.0,327.0,1209906.0,607257.0,,,,,,,,,,,
JAEN,2023,2226.0,2137.0,639.0,189.0,620637.0,313239.0,,,,,,,,,,,
LA RIOJA,2023,983.0,961.0,344.0,78.0,322282.0,163131.0,,,,,,,,,,,
LAS PALMAS,2023,4356.0,4356.0,590.0,263.0,1145843.0,576373.0,,,,,,,,,,,
LEON,2023,611.0,611.0,153.0,105.0,448573.0,230535.0,,,,,,,,,,,
LLEIDA,2023,1765.0,1765.0,425.0,87.0,447343.0,218786.0,,,,,,,,,,,
LUGO,2023,602.0,556.0,192.0,97.0,324267.0,166935.0,,,,,,,,,,,
MADRID,2023,28345.0,27279.0,5916.0,3683.0,6871903.0,3583706.0,,,,,,,,,,,
MALAGA,2023,12298.0,12298.0,1780.0,1935.0,1752728.0,895482.0,,,,,,,,,,,
MELILLA,2023,402.0,402.0,81.0,38.0,85493.0,42331.0,,,,,,,,,,,
MURCIA,2023,7550.0,7511.0,1514.0,811.0,1551692.0,773873.0,,,,,,,,,,,
NAVARRA,2023,286.0,286.0,42.0,58.0,672155.0,339580.0,,,,,,,,,,,
OURENSE,2023,170.0,170.0,62.0,29.0,304563.0,158292.0,,,,,,,,,,,
PALENCIA,2023,52.0,52.0,18.0,21.0,157787.0,79662.0,,,,,,,,,,,
PONTEVEDRA,2023,746.0,746.0,165.0,80.0,946710.0,489772.0,,,,,,,,,,,
SALAMANCA,2023,88.0,88.0,42.0,20.0,327089.0,168310.0,,,,,,,,,,,
SANTA CRUZ DE TENERIFE,2023,4949.0,4949.0,785.0,228.0,1067173.0,543920.0,,,,,,,,,,,
SEGOVIA,2023,44.0,44.0,18.0,0.0,155332.0,77465.0,,,,,,,,,,,
SEVILLA,2023,2313.0,2313.0,627.0,253.0,1959394.0,1002987.0,,,,,,,,,,,
SORIA,2023,24.0,24.0,14.0,4.0,89528.0,44132.0,,,,,,,,,,,
TARRAGONA,2023,2170.0,2170.0,521.0,225.0,848592.0,424878.0,,,,,,,,,,,
TERUEL,2023,224.0,224.0,71.0,33.0,135046.0,66630.0,,,,,,,,,,,
TOLEDO,2023,1003.0,847.0,369.0,156.0,731112.0,363232.0,,,,,,,,,,,
VALENCIA,2023,3973.0,3914.0,690.0,426.0,2656841.0,1357172.0,,,,,,,,,,,
VALLADOLID,2023,195.0,195.0,74.0,35.0,521333.0,267625.0,,,,,,,,,,,
ZAMORA,2023,86.0,86.0,32.0,24.0,166927.0,84157.0,,,,,,,,,,,
ZARAGOZA,2023,391.0,374.0,126.0,37.0,979365.0,500045.0,,,,,,,,,,,
A CORUNA,2024,47.0,43.0,37.0,7.0,1128449.0,587925.0,,,,,,,,,,,
ALAVA,2024,118.0,118.0,21.0,8.0,338594.0,171927.0,,,,,,,,,,,
ALBACETE,2024,1022.0,949.0,344.0,118.0,389070.0,194309.0,,,,,,,,,,,
ALICANTE,2024,14360.0,13531.0,2748.0,1445.0,1993289.0,1008497.0,,,,,,,,,,,
ALMERIA,2024,3286.0,3063.0,1131.0,291.0,760964.0,371861.0,,,,,,,,,,,
ASTURIAS,2024,2219.0,1996.0,637.0,351.0,1009599.0,528121.0,,,,,,,,,,,
AVILA,2024,477.0,477.0,150.0,49.0,160463.0,79868.0,,,,,,,,,,,
BADAJOZ,2024,2494.0,2097.0,607.0,372.0,666029.0,337097.0,,,,,,,,,,,
BARCELONA,2024,13298.0,13043.0,3135.0,1452.0,5877672.0,3006951.0,,,,,,,,,,,
BIZKAIA,2024,3733.0,3530.0,555.0,350.0,1159368.0,598845.0,,,,,,,,,,,
BURGOS,2024,1078.0,995.0,314.0,159.0,359740.0,179916.0,,,,,,,,,,,
CACERES,2024,1156.0,1156.0,165.0,235.0,388652.0,195907.0,,,,,,,,,,,
CADIZ,2024,6334.0,4995.0,1015.0,1703.0,1258730.0,639187.0,,,,,,,,,,,
CANTABRIA,2024,608.0,471.0,178.0,81.0,590851.0,304529.0,,,,,,,,,,,
